station,PM10,SO2,NO2,CO,O3,total_kadar_polutan
Aotizhongxin,109.58818731462469,17.152553593429158,59.121859100501936,1244.561886835501,55.64969017225644,297.2148354032626
Changping,94.28179044033767,14.816360734656628,44.02644293862651,1137.019279032626,57.73432837668263,269.5756403045859
Dingling,83.29558521560574,11.609128199863108,27.283320223020763,887.4008955053616,68.28702817134383,215.57519146303903
Dongsi,109.95292322610084,18.369798037873604,53.39355049338353,1299.9747033994981,56.962840582934064,307.730763147958
Guanyuan,108.7783224960073,17.46128982432124,57.7719316335843,1252.7317761806983,55.3001039755875,298.40868482203973
Gucheng,118.64616130504221,15.245192995665072,55.75922581850331,1307.0343086926762,57.43094526579968,310.8231668155373
Huairou,90.98448551220625,11.894564590463153,32.14680550992471,1013.5289755874971,59.4693842801734,241.60484309605295
Nongzhanguan,108.69004391968971,18.565998745151724,57.957107269564226,1309.7549908738308,58.339366603924255,310.66150148243213
Shunyi,98.39730778005932,13.255207688797627,43.63991081451061,1163.0215035363906,54.68318915697011,274.5994237953456
Tiantan,105.99993440565824,14.132701984941821,53.03188444273329,1285.5127195984485,55.600006091718,302.85544930469996
Wanliu,110.28266598220397,18.239118138261464,65.09831400581794,1297.6826089436458,47.85967639174081,307.832476692334
Wanshouxigong,111.93050422085331,16.974053274013233,55.38915150296601,1356.6943018480492,55.79242247319188,319.3560866638147
